,architecture,machine,node,platform,processor,python_build,python_compiler,python_branch,python_implementation,python_revision,python_version,python_version_tuple,system,version,uname,freedesktop_os_release,mac_ver,win32_ver
0,"['64bit', '']",x86_64,9b292df29ef0,Linux-6.5.0-1021-azure-x86_64-with-glibc2.28,x86_64,"['main', 'Apr  8 2024 09:59:59']",GCC 8.5.0 20210514 (Red Hat 8.5.0-21),,CPython,,3.12.1,"['3', '12', '1']",Linux,#22~22.04.1-Ubuntu SMP Tue Apr 30 16:08:18 UTC 2024,"['Linux', '9b292df29ef0', '6.5.0-1021-azure', '#22~22.04.1-Ubuntu SMP Tue Apr 30 16:08:18 UTC 2024', 'x86_64', 'x86_64']","{'NAME': 'AlmaLinux', 'ID': 'almalinux', 'PRETTY_NAME': 'AlmaLinux 8.10 (Cerulean Leopard)', 'VERSION': '8.10 (Cerulean Leopard)', 'ID_LIKE': 'rhel centos fedora', 'VERSION_ID': '8.10', 'PLATFORM_ID': 'platform:el8', 'ANSI_COLOR': '0;34', 'LOGO': 'fedora-logo-icon', 'CPE_NAME': 'cpe:/o:almalinux:almalinux:8::baseos', 'HOME_URL': 'https://almalinux.org/', 'DOCUMENTATION_URL': 'https://wiki.almalinux.org/', 'BUG_REPORT_URL': 'https://bugs.almalinux.org/', 'ALMALINUX_MANTISBT_PROJECT': 'AlmaLinux-8', 'ALMALINUX_MANTISBT_PROJECT_VERSION': '8.10', 'REDHAT_SUPPORT_PRODUCT': 'AlmaLinux', 'REDHAT_SUPPORT_PRODUCT_VERSION': '8.10', 'SUPPORT_END': '2029-06-01'}",,
1,"['64bit', '']",x86_64,70dcf8c7035b,Linux-6.5.0-1021-azure-x86_64-with-glibc2.34,x86_64,"['main', 'Feb 19 2024 00:00:00']",GCC 11.4.1 20231218 (Red Hat 11.4.1-3),,CPython,,3.12.1,"['3', '12', '1']",Linux,#22~22.04.1-Ubuntu SMP Tue Apr 30 16:08:18 UTC 2024,"['Linux', '70dcf8c7035b', '6.5.0-1021-azure', '#22~22.04.1-Ubuntu SMP Tue Apr 30 16:08:18 UTC 2024', 'x86_64', 'x86_64']","{'NAME': 'AlmaLinux', 'ID': 'almalinux', 'PRETTY_NAME': 'AlmaLinux 9.4 (Seafoam Ocelot)', 'VERSION': '9.4 (Seafoam Ocelot)', 'ID_LIKE': 'rhel centos fedora', 'VERSION_ID': '9.4', 'PLATFORM_ID': 'platform:el9', 'ANSI_COLOR': '0;34', 'LOGO': 'fedora-logo-icon', 'CPE_NAME': 'cpe:/o:almalinux:almalinux:9::baseos', 'HOME_URL': 'https://almalinux.org/', 'DOCUMENTATION_URL': 'https://wiki.almalinux.org/', 'BUG_REPORT_URL': 'https://bugs.almalinux.org/', 'ALMALINUX_MANTISBT_PROJECT': 'AlmaLinux-9', 'ALMALINUX_MANTISBT_PROJECT_VERSION': '9.4', 'REDHAT_SUPPORT_PRODUCT': 'AlmaLinux', 'REDHAT_SUPPORT_PRODUCT_VERSION': '9.4', 'SUPPORT_END': '2032-06-01'}",,
2,"['64bit', 'ELF']",x86_64,832d025915c5,Linux-6.5.0-1021-azure-x86_64-with-glibc2.38,,"['main', 'Apr 23 2024 09:16:07']",GCC 13.2.1 20240417,,CPython,,3.12.3,"['3', '12', '3']",Linux,#22~22.04.1-Ubuntu SMP Tue Apr 30 16:08:18 UTC 2024,"['Linux', '832d025915c5', '6.5.0-1021-azure', '#22~22.04.1-Ubuntu SMP Tue Apr 30 16:08:18 UTC 2024', 'x86_64', '']","{'NAME': 'Arch Linux', 'ID': 'arch', 'PRETTY_NAME': 'Arch Linux', 'BUILD_ID': 'rolling', 'VERSION_ID': '20240101.0.204074', 'ANSI_COLOR': '38;2;23;147;209', 'HOME_URL': 'https://archlinux.org/', 'DOCUMENTATION_URL': 'https://wiki.archlinux.org/', 'SUPPORT_URL': 'https://bbs.archlinux.org/', 'BUG_REPORT_URL': 'https://bugs.archlinux.org/', 'PRIVACY_POLICY_URL': 'https://terms.archlinux.org/docs/privacy-policy/', 'LOGO': 'archlinux-logo'}",,
3,"['64bit', '']",x86_64,a98d869cfb8c,Linux-6.5.0-1021-azure-x86_64-with-glibc2.36,,"['main', 'Mar 13 2023 12:18:29']",GCC 12.2.0,,CPython,,3.11.2,"['3', '11', '2']",Linux,#22~22.04.1-Ubuntu SMP Tue Apr 30 16:08:18 UTC 2024,"['Linux', 'a98d869cfb8c', '6.5.0-1021-azure', '#22~22.04.1-Ubuntu SMP Tue Apr 30 16:08:18 UTC 2024', 'x86_64', '']","{'NAME': 'Debian GNU/Linux', 'ID': 'debian', 'PRETTY_NAME': 'Debian GNU/Linux 12 (bookworm)', 'VERSION_ID': '12', 'VERSION': '12 (bookworm)', 'VERSION_CODENAME': 'bookworm', 'HOME_URL': 'https://www.debian.org/', 'SUPPORT_URL': 'https://www.debian.org/support', 'BUG_REPORT_URL': 'https://bugs.debian.org/'}",,
4,"['64bit', '']",x86_64,752d97edab1e,Linux-6.5.0-1021-azure-x86_64-with-glibc2.38,,"['main', 'Apr 10 2024 13:16:36']",GCC 13.2.0,,CPython,,3.11.9,"['3', '11', '9']",Linux,#22~22.04.1-Ubuntu SMP Tue Apr 30 16:08:18 UTC 2024,"['Linux', '752d97edab1e', '6.5.0-1021-azure', '#22~22.04.1-Ubuntu SMP Tue Apr 30 16:08:18 UTC 2024', 'x86_64', '']","{'NAME': 'Debian GNU/Linux', 'ID': 'debian', 'PRETTY_NAME': 'Debian GNU/Linux trixie/sid', 'VERSION_CODENAME': 'trixie', 'HOME_URL': 'https://www.debian.org/', 'SUPPORT_URL': 'https://www.debian.org/support', 'BUG_REPORT_URL': 'https://bugs.debian.org/'}",,
5,"['64bit', '']",x86_64,Mac-1718043060753.local,macOS-13.6.7-x86_64-i386-64bit,i386,"['v3.12.3:f6650f9ad7', 'Apr  9 2024 08:18:48']",Clang 13.0.0 (clang-1300.0.29.30),v3.12.3,CPython,f6650f9ad7,3.12.3,"['3', '12', '3']",Darwin,Darwin Kernel Version 22.6.0: Mon Apr 22 20:54:28 PDT 2024; root:xnu-8796.141.3.705.2~1/RELEASE_X86_64,"['Darwin', 'Mac-1718043060753.local', '22.6.0', 'Darwin Kernel Version 22.6.0: Mon Apr 22 20:54:28 PDT 2024; root:xnu-8796.141.3.705.2~1/RELEASE_X86_64', 'x86_64', 'i386']",,"['13.6.7', ['', '', ''], 'x86_64']",
6,"['64bit', '']",arm64,Mac-1718043181735.local,macOS-14.5-arm64-arm-64bit,arm,"['v3.12.3:f6650f9ad7', 'Apr  9 2024 08:18:47']",Clang 13.0.0 (clang-1300.0.29.30),v3.12.3,CPython,f6650f9ad7,3.12.3,"['3', '12', '3']",Darwin,Darwin Kernel Version 23.5.0: Wed May  1 20:12:39 PDT 2024; root:xnu-10063.121.3~5/RELEASE_ARM64_VMAPPLE,"['Darwin', 'Mac-1718043181735.local', '23.5.0', 'Darwin Kernel Version 23.5.0: Wed May  1 20:12:39 PDT 2024; root:xnu-10063.121.3~5/RELEASE_ARM64_VMAPPLE', 'arm64', 'arm']",,"['14.5', ['', '', ''], 'arm64']",
7,"['64bit', '']",arm64,Mac-1718043101420.local,macOS-14.5-arm64-arm-64bit,arm,"['v3.9.13:6de2ca5339', 'May 17 2022 11:37:23']",Clang 13.0.0 (clang-1300.0.29.30),v3.9.13,CPython,6de2ca5339,3.9.13,"['3', '9', '13']",Darwin,Darwin Kernel Version 23.5.0: Wed May  1 20:12:39 PDT 2024; root:xnu-10063.121.3~5/RELEASE_ARM64_VMAPPLE,"['Darwin', 'Mac-1718043101420.local', '23.5.0', 'Darwin Kernel Version 23.5.0: Wed May  1 20:12:39 PDT 2024; root:xnu-10063.121.3~5/RELEASE_ARM64_VMAPPLE', 'arm64', 'arm']",,"['14.5', ['', '', ''], 'arm64']",
8,"['64bit', '']",x86_64,77f23e6e0522,Linux-6.5.0-1021-azure-x86_64-with-glibc2.28,x86_64,"['main', 'Feb 21 2024 10:25:11']",GCC 8.5.0 20210514 (Red Hat 8.5.0-21),,CPython,,3.12.1,"['3', '12', '1']",Linux,#22~22.04.1-Ubuntu SMP Tue Apr 30 16:08:18 UTC 2024,"['Linux', '77f23e6e0522', '6.5.0-1021-azure', '#22~22.04.1-Ubuntu SMP Tue Apr 30 16:08:18 UTC 2024', 'x86_64', 'x86_64']","{'NAME': 'Red Hat Enterprise Linux', 'ID': 'rhel', 'PRETTY_NAME': 'Red Hat Enterprise Linux 8.10 (Ootpa)', 'VERSION': '8.10 (Ootpa)', 'ID_LIKE': 'fedora', 'VERSION_ID': '8.10', 'PLATFORM_ID': 'platform:el8', 'ANSI_COLOR': '0;31', 'CPE_NAME': 'cpe:/o:redhat:enterprise_linux:8::baseos', 'HOME_URL': 'https://www.redhat.com/', 'DOCUMENTATION_URL': 'https://access.redhat.com/documentation/en-us/red_hat_enterprise_linux/8', 'BUG_REPORT_URL': 'https://bugzilla.redhat.com/', 'REDHAT_BUGZILLA_PRODUCT': 'Red Hat Enterprise Linux 8', 'REDHAT_BUGZILLA_PRODUCT_VERSION': '8.10', 'REDHAT_SUPPORT_PRODUCT': 'Red Hat Enterprise Linux', 'REDHAT_SUPPORT_PRODUCT_VERSION': '8.10'}",,
9,"['64bit', '']",x86_64,b7f81a99e8c5,Linux-6.5.0-1021-azure-x86_64-with-glibc2.34,x86_64,"['main', 'Feb 19 2024 00:00:00']",GCC 11.4.1 20231218 (Red Hat 11.4.1-3),,CPython,,3.12.1,"['3', '12', '1']",Linux,#22~22.04.1-Ubuntu SMP Tue Apr 30 16:08:18 UTC 2024,"['Linux', 'b7f81a99e8c5', '6.5.0-1021-azure', '#22~22.04.1-Ubuntu SMP Tue Apr 30 16:08:18 UTC 2024', 'x86_64', 'x86_64']","{'NAME': 'Red Hat Enterprise Linux', 'ID': 'rhel', 'PRETTY_NAME': 'Red Hat Enterprise Linux 9.4 (Plow)', 'VERSION': '9.4 (Plow)', 'ID_LIKE': 'fedora', 'VERSION_ID': '9.4', 'PLATFORM_ID': 'platform:el9', 'ANSI_COLOR': '0;31', 'LOGO': 'fedora-logo-icon', 'CPE_NAME': 'cpe:/o:redhat:enterprise_linux:9::baseos', 'HOME_URL': 'https://www.redhat.com/', 'DOCUMENTATION_URL': 'https://access.redhat.com/documentation/en-us/red_hat_enterprise_linux/9', 'BUG_REPORT_URL': 'https://bugzilla.redhat.com/', 'REDHAT_BUGZILLA_PRODUCT': 'Red Hat Enterprise Linux 9', 'REDHAT_BUGZILLA_PRODUCT_VERSION': '9.4', 'REDHAT_SUPPORT_PRODUCT': 'Red Hat Enterprise Linux', 'REDHAT_SUPPORT_PRODUCT_VERSION': '9.4'}",,
10,"['64bit', '']",x86_64,dea8580fd0d0,Linux-6.5.0-1021-azure-x86_64-with-glibc2.28,x86_64,"['main', 'Feb 21 2024 15:34:15']",GCC 8.5.0 20210514 (Red Hat 8.5.0-21),,CPython,,3.12.1,"['3', '12', '1']",Linux,#22~22.04.1-Ubuntu SMP Tue Apr 30 16:08:18 UTC 2024,"['Linux', 'dea8580fd0d0', '6.5.0-1021-azure', '#22~22.04.1-Ubuntu SMP Tue Apr 30 16:08:18 UTC 2024', 'x86_64', 'x86_64']","{'NAME': 'Rocky Linux', 'ID': 'rocky', 'PRETTY_NAME': 'Rocky Linux 8.9 (Green Obsidian)', 'VERSION': '8.9 (Green Obsidian)', 'ID_LIKE': 'rhel centos fedora', 'VERSION_ID': '8.9', 'PLATFORM_ID': 'platform:el8', 'ANSI_COLOR': '0;32', 'LOGO': 'fedora-logo-icon', 'CPE_NAME': 'cpe:/o:rocky:rocky:8:GA', 'HOME_URL': 'https://rockylinux.org/', 'BUG_REPORT_URL': 'https://bugs.rockylinux.org/', 'SUPPORT_END': '2029-05-31', 'ROCKY_SUPPORT_PRODUCT': 'Rocky-Linux-8', 'ROCKY_SUPPORT_PRODUCT_VERSION': '8.9', 'REDHAT_SUPPORT_PRODUCT': 'Rocky Linux', 'REDHAT_SUPPORT_PRODUCT_VERSION': '8.9'}",,
11,"['64bit', '']",x86_64,4c893eeb2774,Linux-6.5.0-1021-azure-x86_64-with-glibc2.34,x86_64,"['main', 'Feb 19 2024 00:00:00']",GCC 11.4.1 20231218 (Red Hat 11.4.1-3),,CPython,,3.12.1,"['3', '12', '1']",Linux,#22~22.04.1-Ubuntu SMP Tue Apr 30 16:08:18 UTC 2024,"['Linux', '4c893eeb2774', '6.5.0-1021-azure', '#22~22.04.1-Ubuntu SMP Tue Apr 30 16:08:18 UTC 2024', 'x86_64', 'x86_64']","{'NAME': 'Rocky Linux', 'ID': 'rocky', 'PRETTY_NAME': 'Rocky Linux 9.3 (Blue Onyx)', 'VERSION': '9.3 (Blue Onyx)', 'ID_LIKE': 'rhel centos fedora', 'VERSION_ID': '9.3', 'PLATFORM_ID': 'platform:el9', 'ANSI_COLOR': '0;32', 'LOGO': 'fedora-logo-icon', 'CPE_NAME': 'cpe:/o:rocky:rocky:9::baseos', 'HOME_URL': 'https://rockylinux.org/', 'BUG_REPORT_URL': 'https://bugs.rockylinux.org/', 'SUPPORT_END': '2032-05-31', 'ROCKY_SUPPORT_PRODUCT': 'Rocky-Linux-9', 'ROCKY_SUPPORT_PRODUCT_VERSION': '9.3', 'REDHAT_SUPPORT_PRODUCT': 'Rocky Linux', 'REDHAT_SUPPORT_PRODUCT_VERSION': '9.3'}",,
12,"['64bit', 'ELF']",x86_64,fv-az1117-424,Linux-6.5.0-1021-azure-x86_64-with-glibc2.35,x86_64,"['main', 'May  9 2024 14:51:07']",GCC 11.4.0,,CPython,,3.12.3,"['3', '12', '3']",Linux,#22~22.04.1-Ubuntu SMP Tue Apr 30 16:08:18 UTC 2024,"['Linux', 'fv-az1117-424', '6.5.0-1021-azure', '#22~22.04.1-Ubuntu SMP Tue Apr 30 16:08:18 UTC 2024', 'x86_64', 'x86_64']","{'NAME': 'Ubuntu', 'ID': 'ubuntu', 'PRETTY_NAME': 'Ubuntu 22.04.4 LTS', 'VERSION_ID': '22.04', 'VERSION': '22.04.4 LTS (Jammy Jellyfish)', 'VERSION_CODENAME': 'jammy', 'ID_LIKE': 'debian', 'HOME_URL': 'https://www.ubuntu.com/', 'SUPPORT_URL': 'https://help.ubuntu.com/', 'BUG_REPORT_URL': 'https://bugs.launchpad.net/ubuntu/', 'PRIVACY_POLICY_URL': 'https://www.ubuntu.com/legal/terms-and-policies/privacy-policy', 'UBUNTU_CODENAME': 'jammy'}",,
13,"['64bit', 'WindowsPE']",AMD64,fv-az742-879,Windows-2022Server-10.0.20348-SP0,"AMD64 Family 25 Model 1 Stepping 1, AuthenticAMD","['tags/v3.12.3:f6650f9', 'Apr  9 2024 14:05:25']",MSC v.1938 64 bit (AMD64),tags/v3.12.3,CPython,f6650f9,3.12.3,"['3', '12', '3']",Windows,10.0.20348,"['Windows', 'fv-az742-879', '2022Server', '10.0.20348', 'AMD64', 'AMD64 Family 25 Model 1 Stepping 1, AuthenticAMD']",,,"['2022Server', '10.0.20348', 'SP0', 'Multiprocessor Free']"
